,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
94,PMQ,PMQ,Perito Moreno,Perito Moreno,Argentina,-46.537911,-70.978689,ARS,0.1081,9.2657
95,RZA,RZA,Santa Cruz,Santa Cruz,Argentina,-50.01655,-68.579197,ARS,0.1081,9.2657
96,BHI,BHI,Comandante Espora,Bahia Blanca,Argentina,-38.724967,-62.16931700000001,ARS,0.1081,9.2657
97,MDQ,MDQ,Mar Del Plata,Mar Del Plata,Argentina,-37.934166999999995,-57.573333,ARS,0.1081,9.2657
98,NQN,NQN,Presidente Peron,Neuquen,Argentina,-38.949,-68.155711,ARS,0.1081,9.2657
99,RSA,RSA,Santa Rosa,Santa Rosa,Argentina,-36.588322,-64.275694,ARS,0.1081,9.2657
100,BRC,BRC,San Carlos De Bariloche,San Carlos De Bariloche,Argentina,-41.151171999999995,-71.157542,ARS,0.1081,9.2657
101,TDL,TDL,Tandil,Tandil,Argentina,-37.237392,-59.227922,ARS,0.1081,9.2657
102,VLG,VLG,Villa Gesell,Villa Gesell,Argentina,-37.235408,-57.029239000000004,ARS,0.1081,9.2657
103,CPC,CPC,Aviador C Campos,San Martin Des Andes,Argentina,-40.075383,-71.137294,ARS,0.1081,9.2657
104,EZE,EZE,Ministro Pistarini,Buenos Aires,Argentina,-34.822222,-58.535833,ARS,0.1081,9.2657
105,FTE,FTE,El Calafate,El Calafate,Argentina,-50.280322,-72.05310300000001,ARS,0.1081,9.2657
106,SST,SST,Santa Teresita Airport,Santa Teresita,Argentina,-36.542317,-56.721756000000006,ARS,0.1081,9.2657
107,GGS,GGS,Gobernador Gregores Airport,Gobernador Gregores,Argentina,-48.7831,-70.15,ARS,0.1081,9.2657
108,OES,OES,Antoine De St Exupery Airport,San Antonio Oeste,Argentina,-40.7512,-65.0343,ARS,0.1081,9.2657
109,LHS,LHS,Las Heras Airport,Las Heras,Argentina,-46.533056,-68.951111,ARS,0.1081,9.2657
110,TTG,TTG,General Enrique Mosconi Airport,Tartagal,Argentina,-22.619167,-63.793189,ARS,0.1081,9.2657
111,NEC,NEC,Necochea Airport,Necochea,Argentina,-38.483056,-58.817221999999994,ARS,0.1081,9.2657
112,ING,ING,Lago Argentino Airport,El Calafate,Argentina,-50.3361,-72.2486,ARS,0.1081,9.2657
113,APZ,APZ,ZAPALA,ZAPALA,Argentina,-38.9755,-70.11358100000001,ARS,0.1081,9.2657
114,RDS,RDS,Rincon de los Sauces,Rincon de los Sauces,Argentina,-37.390617,-68.904211,ARS,0.1081,9.2657
115,OLN,OLN,Colonia Sarmiento,Colonia Sarmiento,Argentina,-45.6,-69.083333,ARS,0.1081,9.2657
116,RYO,RYO,Rio Turbio,Rio Turbio,Argentina,-51.533333,-72.3,ARS,0.1081,9.2657
117,CVI,CVI,Caleta Olivia,Caleta Olivia,Argentina,-46.4333,-67.5333,ARS,0.1081,9.2657
118,SGV,SGV,Sierra Grande,Sierra Grande,Argentina,-41.592,-65.34100000000001,ARS,0.1081,9.2657
119,IGB,IGB,Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,-41.3,-69.5833,ARS,0.1081,9.2657
120,ELX,ELX,El Chalten,El Chalten,Argentina,-49.328889000000004,-72.93,ARS,0.1081,9.2657
121,RLO,RLO,Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,-32.349803,-65.179932,ARS,0.1081,9.2657
122,ARR,ARR,Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,-45.016667,-70.81666700000001,ARS,0.1081,9.2657
123,JSM,JSM,Jose de San Martin Airport,Jose de San Martin,Argentina,-44.016667,-70.466667,ARS,0.1081,9.2657
124,CFX,CFX,Gilberto Lavaque,Cafayate,Argentina,-26.06245,-65.93209499999999,ARS,0.1081,9.2657
125,RHD,RHD,Termal,Rio Hondo,Argentina,-27.509946000000003,-64.936666,ARS,0.1081,9.2657
126,MTL,MTL,Maitland Airport,Maitland,Australia,-32.7033,151.488,AUD,0.7253,1.3791
127,DGE,DGE,Mudgee Airport,Mudgee,Australia,-32.5625,149.611,AUD,0.7253,1.3791
128,WSY,WSY,Whitsunday Airstrip,Airlie Beach,Australia,-20.276,148.755,AUD,0.7253,1.3791
129,NSO,NSO,Scone Airport,Scone,Australia,-32.0372,150.832,AUD,0.7253,1.3791
130,CES,CES,Cessnock Airport,Cessnock,Australia,-32.7875,151.342,AUD,0.7253,1.3791
131,OKB,OKB,Orchid Beach,Fraser Island,Australia,-24.95841,153.3145,AUD,0.7253,1.3791
132,ABM,ABM,Bamaga Injinoo,Amberley,Australia,-10.950833,142.459444,AUD,0.7253,1.3791
133,ASP,ASP,Alice Springs,Alice Springs,Australia,-23.806667,133.902222,AUD,0.7253,1.3791
134,BNE,BNE,Brisbane Intl,Brisbane,Australia,-27.384166999999998,153.1175,AUD,0.7253,1.3791
135,OOL,OOL,Gold Coast,Coolangatta,Australia,-28.164444,153.504722,AUD,0.7253,1.3791
136,CNS,CNS,Cairns Intl,Cairns,Australia,-16.885832999999998,145.755278,AUD,0.7253,1.3791
137,CTL,CTL,Charleville,Charlieville,Australia,-26.413334000000003,146.2625,AUD,0.7253,1.3791
138,ISA,ISA,Mount Isa,Mount Isa,Australia,-20.663889,139.48861100000002,AUD,0.7253,1.3791
139,MCY,MCY,Sunshine Coast,Maroochydore,Australia,-26.603333000000003,153.091111,AUD,0.7253,1.3791
140,MKY,MKY,Mackay,Mackay,Australia,-21.171667000000003,149.179722,AUD,0.7253,1.3791
141,PPP,PPP,Proserpine Whitsunday Coast,Prosserpine,Australia,-20.495,148.552222,AUD,0.7253,1.3791
142,ROK,ROK,Rockhampton,Rockhampton,Australia,-23.381944,150.475278,AUD,0.7253,1.3791
143,TSV,TSV,Townsville,Townsville,Australia,-19.2525,146.765278,AUD,0.7253,1.3791
144,WEI,WEI,Weipa,Weipa,Australia,-12.678611,141.925278,AUD,0.7253,1.3791
145,AVV,AVV,Avalon,Avalon,Australia,-38.039444,144.46944399999998,AUD,0.7253,1.3791
146,ABX,ABX,Albury,Albury,Australia,-36.067778000000004,146.958056,AUD,0.7253,1.3791
147,MEB,MEB,Melbourne Essendon,Melbourne,Australia,-37.728056,144.901944,AUD,0.7253,1.3791
148,HBA,HBA,Hobart,Hobart,Australia,-42.836110999999995,147.510278,AUD,0.7253,1.3791
149,LST,LST,Launceston,Launceston,Australia,-41.545278,147.214167,AUD,0.7253,1.3791
150,MBW,MBW,Melbourne Moorabbin,Melbourne,Australia,-37.975833,145.10222199999998,AUD,0.7253,1.3791
151,MEL,MEL,Melbourne Intl,Melbourne,Australia,-37.673333,144.843333,AUD,0.7253,1.3791
152,ADL,ADL,Adelaide Intl,Adelaide,Australia,-34.945,138.53055600000002,AUD,0.7253,1.3791
153,JAD,JAD,Perth Jandakot,Perth,Australia,-32.0975,115.881111,AUD,0.7253,1.3791
154,KTA,KTA,Karratha,Karratha,Australia,-20.712222,116.77333300000001,AUD,0.7253,1.3791
155,KGI,KGI,Kalgoorlie Boulder,Kalgoorlie,Australia,-30.789444,121.46166699999999,AUD,0.7253,1.3791
156,KNX,KNX,Kununurra,Kununurra,Australia,-15.778056,128.7075,AUD,0.7253,1.3791
157,LEA,LEA,Learmonth,Learmonth,Australia,-22.235556,114.08861100000001,AUD,0.7253,1.3791
158,PHE,PHE,Port Hedland Intl,Port Hedland,Australia,-20.377778,118.62638899999999,AUD,0.7253,1.3791
159,PER,PER,Perth Intl,Perth,Australia,-31.940278000000003,115.966944,AUD,0.7253,1.3791
160,UMR,UMR,Woomera,Woomera,Australia,-31.144167,136.816944,AUD,0.7253,1.3791
161,BWU,BWU,Sydney Bankstown,Sydney,Australia,-33.924444,150.988333,AUD,0.7253,1.3791
162,CBR,CBR,Canberra,Canberra,Australia,-35.306944,149.195,AUD,0.7253,1.3791
163,CFS,CFS,Coffs Harbour,Coff's Harbour,Australia,-30.320556,153.116389,AUD,0.7253,1.3791
164,CDU,CDU,Camden,Camden,Australia,-34.040278,150.687222,AUD,0.7253,1.3791
165,DBO,DBO,Dubbo,Dubbo,Australia,-32.216667,148.574722,AUD,0.7253,1.3791
166,RCM,RCM,Richmond,Richmond,Australia,-33.600556,150.780833,AUD,0.7253,1.3791
167,SYD,SYD,Sydney Intl,Sydney,Australia,-33.946111,151.177222,AUD,0.7253,1.3791
168,TMW,TMW,Tamworth,Tamworth,Australia,-31.083889000000003,150.846667,AUD,0.7253,1.3791
169,WGA,WGA,Wagga Wagga,Wagga Wagga,Australia,-35.165278,147.466389,AUD,0.7253,1.3791
170,EMD,EMD,Emerald,Emerald,Australia,-23.5675,148.179167,AUD,0.7253,1.3791
171,DRW,DRW,Darwin Intl,Darwin,Australia,-12.4083333,130.87266,AUD,0.7253,1.3791
